VFG0-	VFG012832__ipaH1.4	VFG012833__ipaH1.4	VFG012834__ipaH1.4	VFG012835__ipaH1.4	VFG012836__ipaH1.4	VFG012838__ipaH2.5	VFG012839__ipaH2.5	VFG020143__ipaH1.4
VFG0-_1	VFG012840__ipaH4.5	VFG012841__ipaH4.5	VFG012842__ipaH4.5	VFG012843__ipaH4.5	VFG012844__ipaH4.5	VFG020144__ipaH4.5
VFG0-_2	VFG002041__ipaH7.8	VFG012845__ipaH7.8	VFG012847__ipaH7.8	VFG012848__ipaH7.8	VFG012849__ipaH7.8	VFG020145__ipaH7.8
VFG0-_3	VFG002042__ipaH9.8	VFG012850__ipaH9.8	VFG012852__ipaH9.8	VFG012853__ipaH9.8	VFG012854__ipaH9.8	VFG020146__ipaH9.8
VFG012837__ipaH2	VFG012837__ipaH2.5
cluster_1349	VFG000846__stcE
cluster_135	VFG042395__ralG
cluster_1350	VFG004398__tcfC	VFG004399__tcfC	VFG004400__tcfC	VFG021712__tcfC	VFG021713__tcfC	VFG021714__tcfC
cluster_1351	VFG000912__focD	VFG012336__sfaF	VFG012337__sfaF	VFG033387__sfaF	VFG033388__sfaF	VFG033401__focD
cluster_1352	VFG018337__staC	VFG021422__staC
cluster_1353	VFG004155__bcfC	VFG004158__bcfC	VFG018360__bcfC	VFG021292__bcfC	VFG021293__bcfC	VFG021294__bcfC	VFG021295__bcfC	VFG021296__bcfC	VFG021297__bcfC	VFG021298__bcfC
cluster_1354	VFG035190__EC55989_3334	VFG035191__EC042_4530
cluster_1355	VFG041163__clpV
cluster_1356	VFG021388__safC
cluster_1357	VFG004322__stfC	VFG004324__stfC	VFG018315__stfC	VFG021562__stfC	VFG021563__stfC	VFG021564__stfC	VFG021565__stfC	VFG021566__stfC	VFG021567__stfC	VFG021568__stfC
cluster_1358	VFG035185__c3392	VFG035186__ECP_2806	VFG035187__APECO1_3712	VFG035189__ECO103_3363	VFG035194__ECNA114_2860	VFG035195__EcE24377A_3129	VFG035199__LF82_432
cluster_1359	VFG033280__fimD	VFG033283__fimD	VFG033284__fimD	VFG042715__Z2203
cluster_136	VFG000363__irp2	VFG003119__irp2	VFG003250__irp2	VFG003385__irp2	VFG003504__irp2	VFG012547__irp2	VFG012548__irp2	VFG012549__irp2	VFG012550__irp2	VFG018921__irp2	VFG034092__irp2	VFG034095__irp2	VFG034096__irp2	VFG034097__irp2	VFG034098__irp2	VFG034099__irp2	VFG034100__irp2	VFG034101__irp2	VFG034102__irp2	VFG034104__irp2	VFG034105__irp2	VFG034106__irp2	VFG034107__irp2	VFG034108__irp2	VFG044328__irp2	VFG045839__EC958_2289	VFG046112__ECVR50_2116
cluster_1360	VFG041096__clpV
cluster_1361	VFG018359__bcfC
cluster_1362	VFG042682__fimD
cluster_1363	VFG000446__fimD	VFG004081__fimD	VFG004083__fimD	VFG004084__fimD	VFG018383__fimD	VFG018384__fimD	VFG021156__fimD	VFG021157__fimD	VFG021158__fimD	VFG021159__fimD	VFG021160__fimD	VFG021161__fimD	VFG021162__fimD	VFG021163__fimD
cluster_1364	VFG042462__cooC	VFG042508__csbC	VFG042521__csdC	VFG042581__cosC
cluster_1365	VFG034637__cfaC	VFG042457__cfaC	VFG042473__csaC	VFG042503__csuC
cluster_1366	VFG042623__mrpC
cluster_1367	VFG021409__sefC
cluster_1368	VFG043616__fimD
cluster_1369	VFG041078__clpB
cluster_137	VFG042555__faeG
cluster_1370	VFG021421__staC
cluster_1371	VFG042400__ycbS	VFG045900__elfC	VFG045904__ycbS	VFG045906__O3M_16615	VFG045910__ycbS	VFG045911__fimD2	VFG045912__ETEC_1008	VFG045913__UMNK88_1095	VFG045915__APECO78_08690
cluster_1372	VFG042466__cotC
cluster_1373	VFG043692__clbC
cluster_1374	VFG004387__stkC	VFG021701__stkC
cluster_1375	VFG004229__staC	VFG004230__staC
cluster_1376	VFG042443__afaC_VIII
cluster_1377	VFG000944__draC	VFG042425__afaC_I	VFG042432__afaC_III	VFG045796__afaC	VFG046076__ECVR50_3236
cluster_1378	VFG021029__sspH2
cluster_1379	VFG000853__aafC	VFG034576__aafC
cluster_138	VFG042711__afr2G
cluster_1380	VFG042653__pixC
cluster_1381	VFG004245__stbC	VFG004246__stbC	VFG004248__stbC	VFG004249__stbC	VFG018332__stbC	VFG021446__stbC	VFG021447__stbC	VFG021448__stbC	VFG021449__stbC	VFG021451__stbC	VFG021452__stbC	VFG021453__stbC
cluster_1382	VFG004372__stiC	VFG004373__stiC	VFG018304__stiC	VFG021653__stiC	VFG021654__stiC	VFG021655__stiC	VFG021656__stiC	VFG021657__stiC	VFG021658__stiC	VFG021659__stiC	VFG021660__stiC
cluster_1383	VFG004217__sefC
cluster_1384	VFG000857__agg3C	VFG034590__agg3C
cluster_1385	VFG035429__clpV_aaiP	VFG035432__clpV_aaiP
cluster_1386	VFG004355__sthC	VFG004358__sthC	VFG004359__sthC	VFG018308__sthC	VFG021620__sthC	VFG021621__sthC	VFG021622__sthC	VFG021623__sthC	VFG021624__sthC	VFG021625__sthC	VFG021626__sthC
cluster_1387	VFG042617__PMI0534
cluster_1388	VFG000884__papC	VFG000895__papC	VFG012241__papC	VFG012242__papC	VFG012243__papC	VFG033127__papC	VFG033128__papC	VFG033129__papC	VFG033130__papC	VFG033131__papC	VFG033132__papC
cluster_1389	VFG003796__sopA	VFG003798__sopA	VFG020637__sopA
cluster_139	VFG044137__hmuT
cluster_1390	VFG000454__lpfC	VFG021349__lpfC	VFG021350__lpfC	VFG021351__lpfC	VFG021352__lpfC	VFG021353__lpfC	VFG021355__lpfC
cluster_1391	VFG000849__aggC	VFG034583__agg3C
cluster_1392	VFG042452__hdaC
cluster_1393	VFG002415__yagX_ecpC	VFG018211__ecpC	VFG018214__ecpC	VFG018215__ecpC	VFG018216__ecpC	VFG034457__ecpC	VFG034463__ecpC	VFG034464__ecpC	VFG034465__ecpC	VFG034469__ecpC	VFG034470__ecpC	VFG034472__ecpC	VFG034473__ecpC	VFG034474__ecpC	VFG034475__ecpC	VFG034476__ecpC	VFG034481__ecpC	VFG034483__ecpC	VFG046065__ecpC
cluster_1394	VFG035209__EC55989_3331
cluster_1395	VFG017859__YpsIP31758_B0097
cluster_1396	VFG000871__fimB	VFG012263__fimB	VFG012264__fimB	VFG012267__fimB	VFG033162__fimB	VFG033163__fimB	VFG033166__fimB	VFG033168__fimB	VFG033169__fimB	VFG033170__fimB	VFG033171__fimB	VFG033175__fimB	VFG033178__fimB	VFG033181__fimB	VFG033286__fimD	VFG045773__fimB_
cluster_1397	VFG042592__stgC
cluster_1398	VFG035205__ECP_2810
cluster_1399	VFG004216__sefC
cluster_14	VFG000845__toxB	VFG012204__toxB	VFG033074__toxB	VFG033076__toxB	VFG033077__toxB
cluster_140	VFG044238__hemT
cluster_1400	VFG018497__sopA	VFG020641__sopA
cluster_1401	VFG042436__afaC_VII
cluster_1402	VFG000353__psaC
cluster_1403	VFG035208__ECO103_3364	VFG035214__EcE24377A_3130	VFG045806__EC958_3099
cluster_1404	VFG004200__safC	VFG004201__safC	VFG004203__safC	VFG004204__safC	VFG018343__safC	VFG021385__safC	VFG021386__safC	VFG021387__safC	VFG021389__safC	VFG021390__safC
cluster_1405	VFG000356__inv	VFG003496__invA
cluster_1406	VFG041222__cts2V
cluster_1407	VFG042489__cswD
cluster_1408	VFG042515__fotD
cluster_1409	VFG042542__fasD
cluster_141	VFG043646__clpG
cluster_1410	VFG042585__sfpC
cluster_1411	VFG004012__slrP	VFG004014__slrP	VFG021032__slrP
cluster_1412	VFG000419__caf1A
cluster_1413	VFG000429__tviD	VFG021047__tviD
cluster_1414	VFG044145__hasR
cluster_1415	VFG004265__stcC	VFG004266__stcC	VFG004269__stcC	VFG018328__stcC	VFG021474__stcC	VFG021475__stcC
cluster_1416	VFG004285__stdB	VFG004286__stdB	VFG004288__stdB	VFG004289__stdB	VFG018324__stdB	VFG021491__stdB	VFG021492__stdB	VFG021493__stdB	VFG021494__stdB	VFG021495__stdB	VFG021496__stdB	VFG021497__stdB
cluster_1417	VFG004268__pegC	VFG021725__pegC	VFG021726__pegC	VFG021727__pegC	VFG021728__pegC	VFG021729__pegC
cluster_1418	VFG042611__pmfC
cluster_1419	VFG042690__mrkC
cluster_142	VFG044282__pbtl
cluster_1420	VFG043625__mrkC
cluster_1421	VFG035206__APECO1_3711
cluster_1422	VFG004445__ratB
cluster_1423	VFG004428__sspH2
cluster_1424	VFG035204__c3393	VFG035211__ECABU_c30960
cluster_1425	VFG042537__f17d_C
cluster_1426	VFG043680__clbO
cluster_1427	VFG004218__sefC	VFG021407__sefC	VFG021408__sefC
cluster_1428	VFG042477__csfC
cluster_1429	VFG034596__faeD	VFG042494__cshB	VFG042552__faeD
cluster_143	VFG000462__csgG	VFG004111__csgG	VFG004144__csgG	VFG018376__csgG	VFG021209__csgG	VFG021211__csgG	VFG021212__csgG	VFG021213__csgG	VFG021215__csgG	VFG021216__csgG	VFG021217__csgG
cluster_1430	VFG042481__cssD
cluster_1431	VFG042392__ralD
cluster_1432	VFG042528__afrB
cluster_1433	VFG042563__fedB
cluster_1434	VFG004440__sinH	VFG021115__sinH
cluster_1435	VFG000434__pefC	VFG004409__pefC	VFG021743__pefC
cluster_1436	VFG004379__stjB	VFG021680__stjB	VFG021681__stjB	VFG021682__stjB
cluster_1437	VFG034915__espY4	VFG034917__espY4	VFG034918__espY4	VFG034919__espY4	VFG034921__espY4
cluster_1438	VFG034922__espY5
cluster_1439	VFG045807__EC958_3091	VFG045808__EC958_3095
cluster_144	VFG020306__YPTS_1053
cluster_1440	VFG042572__ldaD
cluster_1441	VFG003540__ysrS
cluster_1442	VFG000468__sspH2	VFG004009__sspH2	VFG018412__sspH2	VFG021027__sspH2	VFG021031__sspH2
cluster_1443	VFG042550__fanD
cluster_1444	VFG042723__kfcD
cluster_1445	VFG004442__sinH
cluster_1446	VFG000464__sopA	VFG003799__sopA	VFG020638__sopA	VFG020639__sopA	VFG020640__sopA	VFG020642__sopA	VFG020643__sopA	VFG020644__sopA
cluster_1447	VFG034887__espX7_nleL	VFG034888__espX7	VFG034890__espX7	VFG034892__espX7	VFG034893__espX7	VFG041568__espX7_nleL
cluster_1448	VFG041079__YPO0507
cluster_1449	VFG041196__cts1G_vgrG
cluster_145	VFG023617__yst1O
cluster_1450	VFG042602__myfC
cluster_1451	VFG021026__sspH2
cluster_1452	VFG018406__slrP
cluster_1453	VFG000469__slrP	VFG004015__slrP	VFG018407__slrP	VFG021033__slrP	VFG021034__slrP	VFG021036__slrP	VFG021037__slrP	VFG021038__slrP	VFG021039__slrP
cluster_1454	VFG000619__iutA	VFG000936__iutA	VFG012965__iutA	VFG012966__iutA	VFG012967__iutA	VFG020168__iutA	VFG033938__iutA	VFG033940__iutA	VFG033943__iutA
cluster_1455	VFG018410__sspH2	VFG018411__sspH2
cluster_1456	VFG002706__cnf	VFG002707__cnf
cluster_1457	VFG021035__slrP
cluster_1458	VFG000923__fepA	VFG013009__enterochelin	VFG013010__fepA	VFG013012__enterochelin	VFG013013__fepA	VFG013014__enterochelin	VFG020175__fepA
cluster_1459	VFG042334__PMI2575
cluster_146	VFG040942__etpN
cluster_1460	VFG034880__espX6	VFG034881__espX6	VFG034882__espX6	VFG034883__espX6	VFG034886__espX6
cluster_1461	VFG012518__iutA	VFG033944__iutA	VFG033945__iutA	VFG033947__iutA	VFG033951__iutA	VFG045829__iutA	VFG046102__ECVR50_3327
cluster_1462	VFG000415__yopO_ypkA	VFG003353__yopO_ypkA	VFG003493__yopO_ypkA	VFG018911__yopO_ypkA	VFG023767__yopO_ypkA
cluster_1463	VFG002307__sinH	VFG004443__sinH	VFG018392__sinH	VFG021111__sinH	VFG021112__sinH	VFG021113__sinH	VFG021114__sinH	VFG021116__sinH	VFG021117__sinH	VFG021118__sinH
cluster_1464	VFG041113__vgrS
cluster_1465	VFG021025__sspH2
cluster_1466	VFG034772__espL4
cluster_1467	VFG012896__gspD
cluster_1468	VFG034884__espX6
cluster_1469	VFG000935__iroN	VFG012498__iroN	VFG012499__iroN	VFG012500__iroN	VFG012968__iroN	VFG033908__iroN	VFG033910__iroN	VFG033911__iroN	VFG044334__iroN
cluster_147	VFG002305__shdA	VFG018393__shdA	VFG021107__shdA
cluster_1470	VFG044150__iroN
cluster_1471	VFG042238__hrcV
cluster_1472	VFG044171__hma
cluster_1473	VFG035833__aec15	VFG035834__aec15	VFG035838__aec15	VFG035839__aec15	VFG035840__aec15	VFG035841__aec15	VFG035843__aec15	VFG035844__aec15	VFG035845__aec15	VFG035846__aec15	VFG035849__aec15	VFG035850__aec15
cluster_1474	VFG041051__vgrG
cluster_1475	VFG000907__hlyB	VFG012478__hlyB	VFG012480__hlyB	VFG033884__hlyB	VFG033885__hlyB
cluster_1476	VFG000841__hlyB	VFG033882__hlyB	VFG033883__hlyB
cluster_1477	VFG000384__yscV_lcrD	VFG003321__yscV_lcrD	VFG003461__yscV_lcrD	VFG023709__yscV_lcrD
cluster_1478	VFG004079__fimC
cluster_1479	VFG041173__SG1044
cluster_148	VFG042560__fim41
cluster_1480	VFG044284__pbtB
cluster_1481	VFG041732__yspL
cluster_1482	VFG042216__sspH1
cluster_1483	VFG001731__c3610
cluster_1484	VFG002356__flhA	VFG023690__flhA
cluster_1485	VFG002685__flhA	VFG002940__flhA	VFG003310__flhA	VFG003443__flhA	VFG017340__flhA	VFG019009__flhA	VFG020249__flhA
cluster_1486	VFG043034__flhA
cluster_1487	VFG043086__flhA
cluster_1488	VFG003525__ysaV
cluster_1489	VFG018836__YpAngola_A3934_
cluster_149	VFG042575__ldaG
cluster_1490	VFG001006__mxiA	VFG012683__mxiA	VFG012685__mxiA	VFG012686__mxiA	VFG020109__mxiA
cluster_1491	VFG044240__hemR
cluster_1492	VFG002047__gspD	VFG040955__gspD
cluster_1493	VFG042078__eivA
cluster_1494	VFG000543__sipA_sspA	VFG003781__sipA	VFG003783__sipA	VFG003784__sipA	VFG018503__sipA	VFG020610__sipA	VFG020611__sipA	VFG020612__sipA	VFG020613__sipA	VFG020614__sipA	VFG020615__sipA	VFG020617__sipA
cluster_1495	VFG000557__invA	VFG003751__invA	VFG003753__invA	VFG003754__invA	VFG018514__invA	VFG018515__invA	VFG020556__invA	VFG020557__invA	VFG020558__invA	VFG020559__invA	VFG020560__invA	VFG020561__invA	VFG020562__invA	VFG020563__invA
cluster_1496	VFG001758__YPO0266	VFG002729__y0525	VFG002863__YPA_4017	VFG002960__YPN_3403_	VFG003369__YPTB0322	VFG017295__YpsIP31758_3819	VFG020204__YPTS_0346
cluster_1497	VFG043211__cheA
cluster_1498	VFG012633__ireA	VFG012634__ireA	VFG034372__ireA
cluster_1499	VFG000514__ssaV	VFG003913__ssaV	VFG003915__ssaV	VFG003916__ssaV	VFG018452__ssaV	VFG018453__ssaV	VFG020850__ssaV	VFG020851__ssaV	VFG020853__ssaV	VFG020854__ssaV	VFG020856__ssaV	VFG020857__ssaV
cluster_15	VFG043084__flgL
cluster_150	VFG042725__csgG	VFG045788__csgG	VFG046068__csgG
cluster_1500	VFG020152__gspD
cluster_1501	VFG044291__hmuR2
cluster_1502	VFG023592__YE105_C0332
cluster_1503	VFG018408__sspH2	VFG018409__sspH2
cluster_1504	VFG042251__hrcC
cluster_1505	VFG003514__yspB
cluster_1506	VFG044139__hmuR
cluster_1507	VFG000813__escV	VFG033545__escV	VFG033546__escV	VFG033551__escV	VFG033552__escV	VFG033553__escV	VFG041545__escV
cluster_1508	VFG000358__fyuA	VFG003114__psn_fyuA	VFG003499__psn_fyuA	VFG012567__fyuA	VFG012569__fyuA	VFG012570__fyuA	VFG034177__fyuA	VFG034181__fyuA	VFG034182__fyuA	VFG034183__fyuA	VFG034185__fyuA	VFG034186__fyuA	VFG034187__fyuA	VFG034189__fyuA	VFG034192__fyuA	VFG044333__fyuA	VFG046117__ECVR50_2121
cluster_1509	VFG043042__cheA
cluster_151	VFG002037__eltA	VFG036065__eltA	VFG036066__lt_a__porcine	VFG036067__eltA
cluster_1510	VFG034859__espX2	VFG034860__espX2	VFG034861__espX2
cluster_1511	VFG041915__ipaH2
cluster_1512	VFG045809__EC958_0639
cluster_1513	VFG044296__PMI2596
cluster_1514	VFG000917__chuA	VFG012597__chuA	VFG012600__chuA	VFG012601__chuA	VFG012602__chuA	VFG013064__shuA	VFG034264__chuA	VFG034265__chuA	VFG034266__chuA	VFG034270__chuA	VFG034271__chuA	VFG034272__chuA	VFG034273__chuA	VFG034274__chuA	VFG034275__chuA	VFG034278__chuA	VFG034280__chuA
cluster_1515	VFG018502__sipA
cluster_1516	VFG035384__vgrG	VFG035387__vgrG
cluster_1517	VFG035835__aec15	VFG035836__aec15	VFG035854__aec15	VFG035855__aec15
cluster_1518	VFG003560__yst1D
cluster_1519	VFG000423__vexE
cluster_152	VFG044295__hmuV
cluster_1520	VFG042313__STM0570
cluster_1521	VFG041223__cts2G
cluster_1522	VFG002713__cnf
cluster_1523	VFG043094__cheA
cluster_1524	VFG023610__YE105_C0912
cluster_1525	VFG040960__pulD
cluster_1526	VFG040932__etpD
cluster_1527	VFG003511__yspA
cluster_1528	VFG042311__yapC
cluster_1529	VFG041169__SG1040
cluster_153	VFG004150__bcfB	VFG004151__bcfB	VFG004153__bcfB	VFG004154__bcfB	VFG018361__bcfB	VFG018362__bcfB	VFG021281__bcfB	VFG021282__bcfB	VFG021283__bcfB	VFG021284__bcfB	VFG021285__bcfB	VFG021287__bcfB	VFG021288__bcfB	VFG021289__bcfB
cluster_1530	VFG000984__ipaA	VFG012739__ipaA	VFG012741__ipaA	VFG012742__ipaA	VFG020123__ipaA
cluster_1531	VFG034754__espL1	VFG034755__espL1	VFG034756__espL1	VFG034757__espL1
cluster_1532	VFG043985__colY
cluster_1533	VFG004437__shdA
cluster_1534	VFG012782__ospC4
cluster_1535	VFG041092__sciC
cluster_1536	VFG042896__cfcB
cluster_1537	VFG044283__pbtA
cluster_1538	VFG041206__cts1C
cluster_1539	VFG043980__cib
cluster_154	VFG012576__sitB	VFG012577__sitB	VFG012578__sitB	VFG012579__sitB	VFG012580__sitB	VFG013045__sitB	VFG013046__sitB	VFG013047__sitB	VFG013049__sitB	VFG013050__sitB	VFG034207__sitB	VFG034214__sitB	VFG034215__sitB	VFG034217__sitB	VFG034218__sitB	VFG045846__sitB
cluster_1540	VFG044067__pECS88_0104
cluster_1541	VFG035712__ECP_0235	VFG035713__APECO1_1761	VFG035714__UTI89_C0248	VFG035726__EC042_0221	VFG035727__ECUMN_0225	VFG035730__ECS88_0243	VFG035733__LF82_024
cluster_1542	VFG043984__cua
cluster_1543	VFG035710__Z0260	VFG035711__ECs0229	VFG035715__G2583_0236	VFG035720__ECO103_0224	VFG035721__ECO111_0230	VFG035722__O3M_20335	VFG035728__EcE24377A_0237	VFG035729__UMNK88_238	VFG046092__ECVR50_0248
cluster_1544	VFG041076__YPO0504
cluster_1545	VFG012786__ospC4
cluster_1546	VFG000402__yscC	VFG003339__yscC	VFG003479__yscC	VFG018897__yscC	VFG020276__yscC	VFG023741__yscC
cluster_1547	VFG000366__ybtQ	VFG003507__ybtQ	VFG012535__ybtQ	VFG012536__ybtQ	VFG012537__ybtQ	VFG012538__ybtQ	VFG018924__ybtQ	VFG034041__ybtQ	VFG034044__ybtQ	VFG034045__ybtQ	VFG034046__ybtQ	VFG034047__ybtQ	VFG034048__ybtQ	VFG034049__ybtQ	VFG034050__ybtQ	VFG034051__ybtQ	VFG034053__ybtQ	VFG034054__ybtQ	VFG034056__ybtQ	VFG044325__ybtQ	VFG046109__ECVR50_2113
cluster_1548	VFG012860__ipaH	VFG012867__ipaH7	VFG012869__ipaH	VFG012875__ipaH	VFG012880__ipaH	VFG012882__ipaH	VFG012892__ipaH	VFG020151__ipaH
cluster_1549	VFG035158__EC55989_3336	VFG035159__EC042_4528
cluster_155	VFG042628__mrpH
cluster_1550	VFG042382__etpB
cluster_1551	VFG044143__hasD
cluster_1552	VFG000365__ybtP	VFG002747__ybtP	VFG002881__ybtP	VFG003387__ybtP	VFG003506__ybtP	VFG012539__ybtP	VFG012540__ybtP	VFG012541__ybtP	VFG020300__ybtP	VFG034058__ybtP	VFG034062__ybtP	VFG034064__ybtP	VFG034066__ybtP	VFG034067__ybtP	VFG034070__ybtP	VFG034071__ybtP	VFG034073__ybtP	VFG034074__ybtP	VFG044326__ybtP	VFG046110__ECVR50_2114
cluster_1553	VFG035374__aaiE	VFG035377__aaiE
cluster_1554	VFG000615__iucA	VFG000940__iucA	VFG012526__iucA	VFG012945__iucA	VFG012946__iucA	VFG012947__iucA	VFG020164__iucA	VFG033994__iucA	VFG033995__iucA	VFG033996__iucA	VFG033999__iucA	VFG034000__iucA	VFG034001__iucA	VFG034002__iucA	VFG034005__iucA
cluster_1555	VFG000439__spvB	VFG004419__spvB	VFG018300__spvB	VFG021750__spvB	VFG021751__spvB
cluster_1556	VFG012868__ipaH
cluster_1557	VFG035335__O3M_04340	VFG035338__EC55989_3316	VFG035339__EC042_4548
cluster_1558	VFG018498__sipB
cluster_1559	VFG041209__cts1O
cluster_156	VFG042778__cofF
cluster_1560	VFG000546__sipB_sspB	VFG003791__sipB	VFG003793__sipB	VFG003794__sipB	VFG018499__sipB	VFG020627__sipB	VFG020628__sipB	VFG020629__sipB	VFG020630__sipB	VFG020632__sipB	VFG020633__sipB	VFG020634__sipB	VFG020635__sipB
cluster_1561	VFG036073__usp	VFG036074__usp	VFG036076__usp	VFG036078__usp	VFG036079__usp	VFG036082__usp
cluster_1562	VFG034686__ibeC	VFG034687__ibeC	VFG034688__ibeC	VFG034690__ibeC	VFG034691__ibeC	VFG034692__ibeC	VFG034694__ibeC	VFG034695__ibeC	VFG034703__ibeC	VFG034705__ibeC	VFG034708__ibeC	VFG034712__ibeC	VFG034713__ibeC	VFG034716__ibeC	VFG034717__ibeC	VFG034718__ibeC	VFG034719__ibeC	VFG034720__ibeC	VFG034724__ibeC	VFG034725__ibeC	VFG045770__yijP
cluster_1563	VFG043978__NP_040393
cluster_1564	VFG036037__cdiB	VFG036038__cdiB	VFG036039__cdiB	VFG036040__cdiB	VFG036041__cdiB
cluster_1565	VFG044303__nrpA
cluster_1566	VFG000422__ymt
cluster_1567	VFG012873__ipaH
cluster_1568	VFG012855__ipaH	VFG012861__ipaH1	VFG012881__ipaH	VFG012887__ipaH	VFG012888__ipaH	VFG020147__ipaH
cluster_1569	VFG035273__EC55989_3322
cluster_157	VFG043208__cheR
cluster_1570	VFG043102__fliC
cluster_1571	VFG012859__ipaH	VFG012864__ipaH4	VFG012871__ipaH	VFG012877__ipaH	VFG012886__ipaH	VFG012889__ipaH	VFG020149__ipaH
cluster_1572	VFG000617__iucC	VFG000938__iucC	VFG012522__iucC	VFG012956__iucC	VFG012957__iucC	VFG020166__iucC	VFG033966__iucC	VFG033968__iucC	VFG033971__iucC	VFG033972__iucC	VFG033973__iucC	VFG033975__iucC
cluster_1573	VFG000987__ipaB	VFG012751__ipaB	VFG012753__ipaB	VFG012754__ipaB	VFG020126__ipaB
cluster_1574	VFG000428__tviE	VFG004029__tviE	VFG021046__tviE
cluster_1575	VFG044405__hasD
cluster_1576	VFG044304__nrpB
cluster_1577	VFG020606__sptP
cluster_1578	VFG034689__ibeC	VFG034704__ibeC	VFG034707__ibeC
cluster_1579	VFG041220__cts2C
cluster_158	VFG044299__nrpR
cluster_1580	VFG042469__cs3_2
cluster_1581	VFG012792__ospD2	VFG012793__ospD2	VFG012794__ospD2	VFG012795__ospD2	VFG020134__ospD2
cluster_1582	VFG012858__ipaH	VFG012863__ipaH3	VFG012876__ipaH	VFG012885__ipaH	VFG012890__ipaH	VFG020150__ipaH
cluster_1583	VFG042887__pilQ
cluster_1584	VFG002657__fliF	VFG003415__fliF	VFG017312__fliF	VFG018852__fliF	VFG018981__fliF	VFG020221__fliF
cluster_1585	VFG013658__pilN
cluster_1586	VFG042076__eivG
cluster_1587	VFG041706__espL1
cluster_1588	VFG001004__mxiD	VFG012675__mxiD	VFG012677__mxiD	VFG012678__mxiD	VFG020107__mxiD
cluster_1589	VFG002328__fliF
cluster_159	VFG000763__perA_bfpT
cluster_1590	VFG012816__ospD3	VFG012817__ospD3_senA	VFG012819__ospD3	VFG012820__ospD3	VFG020139__ospD3
cluster_1591	VFG013657__pilN
cluster_1592	VFG003527__ysaC
cluster_1593	VFG000559__invG	VFG003761__invG	VFG003763__invG	VFG003764__invG	VFG018510__invG	VFG018511__invG	VFG020574__invG	VFG020575__invG	VFG020576__invG	VFG020577__invG	VFG020578__invG	VFG020579__invG	VFG020580__invG	VFG020581__invG
cluster_1594	VFG002310__pilN
cluster_1595	VFG000805__tir	VFG033747__tir	VFG033748__tir
cluster_1596	VFG042327__YpsIP31758_0300
cluster_1597	VFG018827__YpAngola_A3943_
cluster_1598	VFG000465__sopB_sigD	VFG003801__sopB_sigD	VFG003803__sopB_sigD	VFG018496__sopB_sigD	VFG020647__sopB_sigD	VFG020648__sopB_sigD	VFG020649__sopB_sigD	VFG020650__sopB_sigD	VFG020651__sopB_sigD	VFG020652__sopB_sigD	VFG020653__sopB_sigD
cluster_1599	VFG018495__sopB_sigD
cluster_16	VFG044402__hasS
cluster_160	VFG002667__fliP	VFG002786__fliP	VFG017322__fliP	VFG018991__fliP
cluster_1600	VFG042330__PMI2056
cluster_1601	VFG042371__yhlB
cluster_1602	VFG035220__EC55989_3330
cluster_1603	VFG043056__fliF
cluster_1604	VFG023635__fliF
cluster_1605	VFG001448__kpsD
cluster_1606	VFG042328__Spro_4481
cluster_1607	VFG042384__shlB
cluster_1608	VFG020153__gspE
cluster_1609	VFG043209__cheD
cluster_161	VFG041094__sciE
cluster_1610	VFG000538__hilA	VFG003676__hilA	VFG003678__hilA	VFG018544__hilA	VFG020422__hilA	VFG020423__hilA	VFG020427__hilA	VFG020428__hilA
cluster_1611	VFG042324__YE2408
cluster_1612	VFG002342__flgK	VFG023662__flgK
cluster_1613	VFG002671__flgK	VFG003429__flgK	VFG017326__flgK	VFG018995__flgK	VFG020235__flgK
cluster_1614	VFG043031__flgK
cluster_1615	VFG043040__tar_cheM
cluster_1616	VFG043092__tar_cheM
cluster_1617	VFG000751__bfpB
cluster_1618	VFG045978__hofB
cluster_1619	VFG043107__fliF
cluster_162	VFG000352__psaB
cluster_1620	VFG033746__tir	VFG033753__tir
cluster_1621	VFG003355__yopM	VFG020292__yopM
cluster_1622	VFG035153__c3389	VFG035154__ECP_2804	VFG035155__APECO1_3714	VFG035156__UTI89_C3194	VFG035157__ECO103_3361	VFG035160__ECABU_c30920	VFG035162__ECNA114_2857	VFG035163__EcE24377A_3127	VFG035167__LF82_430
cluster_1623	VFG034761__espL2	VFG034762__espL2	VFG034763__espL2	VFG034764__espL2	VFG034765__espL2	VFG034769__espL2	VFG034770__espL2	VFG034771__espL2
cluster_1624	VFG041572__espL2
cluster_1625	VFG043982__cka
cluster_1626	VFG002416__yagW_ecpD	VFG018218__ecpD	VFG018220__ecpD	VFG018221__ecpD	VFG018223__ecpD	VFG034485__ecpD	VFG034486__ecpD	VFG034487__ecpD	VFG034488__ecpD	VFG034491__ecpD	VFG034492__ecpD	VFG034497__ecpD	VFG034498__ecpD	VFG034499__ecpD	VFG034501__ecpD	VFG034502__ecpD	VFG034503__ecpD	VFG034505__ecpD	VFG034511__ecpD
cluster_1627	VFG012857__ipaH	VFG012872__ipaH	VFG012878__ipaH	VFG012879__ipaH	VFG012883__ipaH	VFG012891__ipaH	VFG020148__ipaH
cluster_1628	VFG041553__tir
cluster_1629	VFG003131__YP0820_	VFG018934__YpAngola_A1246_
cluster_163	VFG012495__cdtB	VFG043730__cdtB
cluster_1630	VFG043083__flgK
cluster_1631	VFG043222__fliF
